gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz
1.916,1.443,-0.344,-0.013,-0.012,0.981,34.69,-623.00,-716.00,-875.00
1.649,1.557,-0.466,-0.012,-0.010,0.983,34.18,-645.00,-713.00,-882.00
1.595,1.275,-0.275,-0.014,-0.006,0.982,34.69,-628.00,-726.00,-877.00
1.573,1.405,-0.267,-0.011,-0.011,0.983,34.46,-636.00,-723.00,-880.00
1.435,1.473,-0.504,-0.016,-0.012,0.989,34.51,-631.00,-728.00,-897.00
1.595,1.603,-0.115,-0.019,-0.012,0.988,34.37,-626.00,-726.00,-875.00
1.718,1.290,-0.344,-0.013,-0.012,0.982,34.55,-633.00,-723.00,-875.00
1.489,1.427,-0.244,-0.015,-0.013,0.985,34.37,-643.00,-713.00,-887.00
1.580,1.290,-0.344,-0.015,-0.011,0.980,34.37,-636.00,-721.00,-870.00
1.580,1.115,0.061,-0.012,-0.013,0.989,34.46,-628.00,-731.00,-882.00
1.573,1.443,-0.237,-0.015,-0.009,0.983,34.32,-631.00,-716.00,-882.00
1.550,1.229,-0.137,-0.014,-0.009,0.979,34.37,-631.00,-718.00,-875.00
1.786,1.519,-0.573,-0.015,-0.007,0.983,34.13,-631.00,-706.00,-885.00
1.519,1.542,-0.008,-0.015,-0.012,0.979,34.32,-636.00,-731.00,-885.00
1.382,1.244,-0.344,-0.018,-0.007,0.983,33.99,-643.00,-721.00,-887.00
1.725,1.511,-0.290,-0.020,-0.008,0.989,34.22,-643.00,-721.00,-890.00
1.641,1.260,-0.046,-0.016,-0.009,0.986,33.94,-636.00,-716.00,-872.00
1.626,1.359,-0.366,-0.013,-0.010,0.979,34.13,-638.00,-713.00,-870.00
1.702,1.466,-0.176,-0.018,-0.014,0.978,34.18,-638.00,-726.00,-882.00
1.504,1.420,-0.321,-0.016,-0.009,0.987,33.85,-631.00,-708.00,-880.00
1.748,1.092,-0.198,-0.017,-0.010,0.981,33.94,-636.00,-718.00,-880.00
1.733,1.366,-0.145,-0.007,-0.012,0.977,34.18,-641.00,-726.00,-887.00
1.527,1.580,-0.153,-0.013,-0.013,0.977,33.85,-645.00,-723.00,-887.00
1.740,1.473,0.031,-0.011,-0.007,0.985,33.85,-645.00,-716.00,-880.00
1.687,1.473,0.160,-0.012,-0.009,0.983,34.04,-641.00,-716.00,-885.00
1.733,1.359,0.046,-0.016,-0.012,0.980,33.94,-638.00,-713.00,-882.00
1.679,1.458,-0.115,-0.017,-0.010,0.982,33.71,-636.00,-713.00,-887.00
